frame,video_frame,processed_frame,is_occlusion_frame,observation_mode,best_conf_per_frame,switch_conf_per_frame,switch_active_track_missing,active_detection_conf,tau_conf,consecutive_low_conf_frames,consecutive_prediction_only_frames,prediction_only_guard_passed,cooldown_guard_passed,low_conf_candidate_frame,frame_should_use_z_only,z_radar,num_detections,num_tracks,has_active_target,raw_center_x,raw_center_y,smooth_center_x,smooth_center_y,smooth_z,command_pre_hold,command,gt_present,predicted_dark,gt_box_iou,glare_success
27,42,27,0,raw,0.532514,0.532514,0,0.532514,0.35,0,0,1,1,0,0,78.9845,2,0,1,885.7815,384.8606,885.7815,384.8606,62.3793,BOX:3:3:2:2,BOX:3:3:2:2,1,1,1.0,1
28,43,28,0,raw,0.644176,0.644176,0,0.644176,0.35,0,0,1,1,0,0,78.3166,2,0,1,877.4889,388.3841,877.4889,388.3841,59.3404,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
29,45,29,0,raw,0.660394,0.660394,0,0.660394,0.35,0,0,1,1,0,0,77.2896,2,0,1,877.5521,388.5585,877.5521,388.5585,59.3028,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
30,46,30,0,raw,0.624086,0.624086,0,0.624086,0.35,0,0,1,1,0,0,76.7523,2,0,1,853.7444,386.1325,853.7444,386.1325,57.3596,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
31,48,31,0,raw,0.664558,0.664558,0,0.664558,0.35,0,0,1,1,0,0,75.8558,2,0,1,833.8526,387.9853,833.8526,387.9853,52.591,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
32,49,32,0,raw,0.655378,0.655378,0,0.655378,0.35,0,0,1,1,0,0,75.233,2,0,1,834.0877,387.9278,834.0877,387.9278,52.6416,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
33,51,33,0,raw,0.615741,0.615741,0,0.615741,0.35,0,0,1,1,0,0,74.4164,4,0,1,811.4064,388.1316,811.4064,388.1316,50.0215,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
34,52,34,0,raw,0.735314,0.735314,0,0.735314,0.35,0,0,1,1,0,0,73.6481,2,0,1,786.8096,388.6514,786.8096,388.6514,46.4493,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
35,54,35,0,raw,0.714992,0.714992,0,0.714992,0.35,0,0,1,1,0,0,72.7924,2,0,1,766.4294,389.7808,766.4294,389.7808,43.7088,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
36,56,36,0,raw,0.699827,0.699827,0,0.699827,0.35,0,0,1,1,0,0,72.1014,2,0,1,720.7489,397.6966,720.7489,397.6966,35.8007,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
37,57,37,0,raw,0.700107,0.700107,0,0.700107,0.35,0,0,1,1,0,0,71.4384,2,0,1,720.7943,397.7446,720.7943,397.7446,35.8523,BOX:2:4:1:3,BOX:2:4:1:3,1,1,1.0,1
38,59,38,0,raw,0.713634,0.713634,0,0.713634,0.35,0,0,1,1,0,0,70.3508,2,0,1,681.2346,401.7698,681.2346,401.7698,32.6057,BOX:1:3:1:3,BOX:1:3:1:3,1,1,0.5,1
39,60,39,0,raw,0.732909,0.732909,0,0.732909,0.35,0,0,1,1,0,0,69.8033,2,0,1,684.3482,403.9049,684.3482,403.9049,32.6021,BOX:1:3:1:3,BOX:1:3:1:3,1,1,1.0,1
40,62,40,0,raw,0.612788,0.612788,0,0.612788,0.35,0,0,1,1,0,0,68.9726,2,0,1,651.8814,401.3465,651.8814,401.3465,25.1694,BOX:0:4:0:4,BOX:0:4:0:4,1,1,1.0,1
41,63,41,0,raw,0.45655,0.45655,0,0.45655,0.35,0,0,1,1,0,0,68.0791,3,0,1,588.7362,414.8089,588.7362,414.8089,26.4317,BOX:0:4:1:5,BOX:0:4:1:5,1,1,0.6667,1
42,65,42,0,raw,0.55843,0.55843,0,0.553908,0.35,0,0,1,1,0,0,67.5684,4,0,1,552.5788,416.8073,552.5788,416.8073,24.6718,BOX:0:4:1:5,BOX:0:4:1:5,1,1,0.6667,1
43,67,43,0,raw,0.414611,0.414611,0,0.414611,0.35,0,0,1,1,0,0,66.7045,1,0,1,976.7667,380.9963,976.7667,380.9963,100.8266,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,,
44,68,44,0,raw,,,0,,0.35,0,0,1,1,0,0,66.0986,0,0,0,,,,,,BOX:-1:-1:-1:-1,BOX:-1:-1:-1:-1,1,0,0.0,0
45,70,45,0,raw,0.296095,0.296095,0,0.296095,0.35,0,0,1,1,0,0,64.8869,1,0,1,959.6197,386.2492,959.6197,386.2492,92.5677,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
46,71,46,0,raw,0.304584,0.304584,0,0.304584,0.35,0,0,1,1,0,0,64.0736,1,0,1,959.5802,386.114,959.5802,386.114,92.7336,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
47,73,47,0,raw,0.362511,0.362511,0,0.362511,0.35,0,0,1,1,0,0,63.4649,1,0,1,921.8365,389.4242,921.8365,389.4242,79.9905,BOX:3:3:2:2,BOX:3:3:2:2,1,1,0.0,0
